,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,bus_id
all,bubble tea 5,new york 2,tea cottage 2,people call bubbles bubble tea 1,pearls loved right bat started 1,people asking 1,people asking money 1,people asking money would 1,people asking money would recommend 1,people call 1,people call bubbles 1,people call bubbles bubble 1,adding sago 1,pearls loved right 1,perfect drink 1,perfect drink spitball 1,perfect drink spitball sago 1,perfect drink spitball sago well 1,place ever 1,place ever tried 1,place ever tried craze 1,j125DCJE1t353ZxXL8adsA
all,actually gives 1,pizza panago make sooo yummy 1,place vegan pizza options time 1,place vegan pizza options 1,place vegan pizza 1,place vegan 1,pizzas substituting nasty dairy cheese 1,pizzas substituting nasty dairy 1,pizzas substituting nasty 1,pizzas substituting 1,pizzas kids especially picky eaters 1,pizzas kids especially picky 1,pizzas kids especially 1,pizzas kids 1,pizza suck famoso panago actually 1,pizza suck famoso panago 1,pizza suck famoso 1,pizza suck 1,pizza psyched finally go pick 1,pizza psyched finally go 1,pizza psyched finally 1,UwAqOh7QDJz9m9scQxH9iA
all,great service 3,reliably good 2,steak eggs 2,place deserves five star 1,personable looked us well always 1,pie mint 1,pie mint white 1,pie mint white chocolate 1,pie mint white chocolate yes 1,place deserves 1,place deserves five 1,place deserves five star service 1,personable looked us 1,place reliably 1,place reliably good 1,place reliably good good 1,place reliably good good food 1,place short 1,place short notice 1,place short notice indecision 1,place short notice indecision rules 1,0CLCzdedGT2DPjkYM52Tqg
all,always really 1,second time boyfriend 1,perfect review honestly 1,perfect review honestly think 1,perfect review honestly think single 1,really efficient 1,really efficient friendly 1,really efficient friendly times 1,really efficient friendly times went 1,restaurant clean 1,restaurant clean service 1,restaurant clean service always 1,restaurant clean service always really 1,review honestly 1,review honestly think 1,review honestly think single 1,review honestly think single thing 1,perfect review 1,perfect gave perfect review honestly 1,perfect gave perfect review 1,nice hangover cure 1,RY8I-VP7g-BMfGOSMA2lgg
all,family run 3,hot sauce 3,order pupusas 3,place always 2,salvadoran food 2,love cheese 2,authentic latin 2,place family 2,latin cuisine 2,pork cheese 2,place always pupusas delicious 1,place like 1,place looks fun 1,place always good 1,place looks 1,place always good deff 1,place like reasonable prices margarita 1,place like reasonable prices 1,place like reasonable 1,place family run provides great 1,place always pupusas delicious beef 1,TTUsGHhMch_hW03be2H0oA
all,burger baron 4,mushroom burger 3,mushroom burgers 2,corn fritters 2,favourite burger 2,usually get 2,ordered poutine mozerella burger wont 1,origional burger baron called ordered 1,origional burger baron called 1,origional burger baron 1,origional burger 1,absolute favourite 1,ordered poutine mozerella burger 1,owner favourite mushroom 1,ordered poutine mozerella 1,ordered poutine 1,order cause really wanted donair 1,order cause really wanted 1,order cause really 1,owner favourite 1,owner favourite mushroom swiss 1,WqxxEbwfz1xXn89jYBuQUQ
all,highly recommended 2,best pizza ever 2,delivery fast 2,customer service 2,free delivery 2,pizza ever 2,best pizza 2,really great 2,pizza donair 2,highly recommend 2,skip dishes 2,pizza eating 1,pizza eating years 1,pizza ever ordering 1,pizza eating years great people 1,pizza ever delivery 1,pizza ever delivery fast 1,pizza ever delivery fast food 1,pizza donair shop well ordered 1,pizza eating years great 1,pizza ever ordering please give 1,ASJH8IDBdX_f5yOX0XEfYA
all,always clean 3,best subway 2,always baked 1,remember orders everything always 1,rushing trying 1,right away biggest thing always 1,right away biggest thing 1,right away biggest 1,right away 1,remember orders everything always clean 1,remember orders everything 1,rushing trying get line 1,remember orders 1,regulars remember orders everything always 1,regulars remember orders everything 1,regulars remember orders 1,regulars remember 1,rushing trying get 1,sandwich location 1,rarely baked dry fall 1,skimpy toppings take 1,yDriUh65Wpx1HnTmXln9nw
all,pita bread 7,grape leaves 5,turkish coffee 5,must try 5,rack lamb 4,restaurant edmonton 4,turkish cuisine 4,pasa kebab 4,staff always 4,stuffed apricots 4,last night 4,cooked perfection 4,best ever 3,grilled vegetables 3,make reservation 3,pita hummus 3,special menu 3,highly recommend 3,delicious food 3,stuffed grape leaves 3,new wine 3,EyoGUM01HS9kemQcnTRLIw
all,best chai 5,coffee shop 5,gluten free 5,kashmir chai 4,butter chicken 4,great place 3,chai amazing 3,chai chai 3,indian food 3,chana masala 3,would highly 3,would highly recommend 3,food great 3,highly recommend 3,remedy cafe 3,spot sit 3,chai latte 3,love chana 3,love chana masala 3,seen location morph grow renovations 2,pistachios would highly 2,B3JF06ctShiYJeg1FyJ5jA
all,farmers market 6,live music 3,market south 3,every week 2,wide aisles 2,new indoor 2,saturday sunday 2,farmers market south 2,bountiful farmers market 2,bountiful farmers 2,sunday year 2,sunday year round 2,year round 2,free parking 2,love market 2,pick fresh produce stay 1,pick fresh produce 1,pick fresh 1,permanent layout larger cooked food 1,permanent layout larger cooked 1,pick fresh produce stay lunch 1,WSllV7Nl13wskOFWjh-BbA
all,whipped cream 2,one near 2,bananas sweet 2,add extra 1,perfect thin timed custard 1,ripe enough bananas sweet enough 1,ripe enough bananas sweet 1,ripe enough bananas 1,ripe enough 1,recieved bit lineup mind waiting 1,recieved bit lineup mind 1,recieved bit lineup 1,recieved bit 1,perfect thin timed custard whipped 1,perfect thin 1,perfect thin timed 1,passed try company went one 1,passed try company went 1,passed try company 1,passed try 1,partially green bananas sweet wanted 1,c7h5S5Oqz3wq3KufxUlmtQ
all,free parking 5,modern clean 3,staff friendly 3,breakfast morning 3,complimentary breakfast 3,great hotel 3,place stay 3,complimentary wine 3,free breakfast 2,highly recommended 2,hotel stayed 2,bed super 2,parking free 2,complimentary breakfast nice 2,hotel located 2,love matrix 2,breakfast nice 2,definitely stay 2,trip edmonton 2,friendly helpful 2,really enjoyed 2,JI3-QZwm6vihIFBcekgyaA
all,black bean 2,lemlem burger 2,addition beverly 1,peppers tasted fantastic prices 1,pioneer style feels rustic owner 1,pioneer style feels rustic 1,pioneer style feels 1,pioneer style 1,peppers tasted fantastic prices fantastic 1,peppers tasted fantastic 1,place cup tea 1,peppers tasted 1,patty spicy husbands mild equally 1,patty spicy husbands mild 1,patty spicy husbands 1,patty spicy 1,place cup 1,place cup tea grab 1,patties lovely spices soft 1,place cup tea grab fresh 1,place fantastic 1,9Udgv_7h8oj6NXq5hQeJow
all,chinese bbq 4,lunch combo 3,roasted duck 3,place get 2,bbq pork 2,absolutely amazing 1,pork roast 1,pork also sell sausages fresh 1,pork also sell sausages 1,pork also 1,pork also sell 1,places serve simple options prepared 1,places serve simple options 1,places serve simple 1,places serve 1,place get typical chinese bbq 1,pork roast duck 1,pork roast duck etc 1,place get typical 1,pork roast duck etc quality 1,pork roasted 1,YSmh3UwoCPzoLytbYKYBLw
