distance,index
[468.1 449.8 210.  417.9 210.8 210.2 188.5 152.2 138.1   0.   14.4],[595 485 121 465 219  53 705 358 114 668 448]
[351.7  96.4   0.  492.9 259.1],[658 744 527 376 723]
"[307.9 343.7 255.4 379.1   0.   79.2 284.3 450.5 233.1  64.6  64.6 235.6
 143.6 123.5 474.3 234.6 170.  137.8 328.4 363.  343.9 133.  332.2 484.8
 183.6 182.1 436.8 451.2 319.2 319.2 407.4 257.9 263.  498.5 475.7]","[224 317 743 616 534 632 555 387 468 471  72 613 610 179  85 541 267 240
 663 100 171 246 145 290 642 106 496 187 489 607 231 189 653 634  28]"
"[228.8 418.9 479.  483.6 489.8 189.6 170.6 164.2 248.  110.5 105.    0.
 231.8]",[270 119 599 254 535 315  61 338 182  70 684  18 163]
[ 87.4   0.   74.7  84.7 492.8],[ 52 243 352  75   9]
[393.5   0.  122.2 348.6   6.5],[627 103 134 288 260]
[ 0.  67.6],[303 117]
[263.5 477.1 213.  285.5 115.2 107.  177.2  65.    0.  134.1],[111 589 118 158 397 459 727 151 526  98]
[230.8 230.    0. ],[701 107  50]
[477.2 466.6   0. ],[508 204 214]
"[452.2 448.4 212.4 272.3 432.    0.  289.6  25.  112.2 287.  106.9  32.8
 110.8 389.1 202.5]",[159 230  73 503 581 540 441  60 184 604 217 212 355 447 377]
[219.  251.    0.    0.  246.8 450.6],[380 450 428  84 367 661]
[ 28.3   0.  362.9 418.6 276.8  71.9 404.2 190.3 368.5 486.8 315.5 155.2],[709 499 598 487 143  69 533 266 256 415 275 654]
[ 0. 27.],[354 390]
"[322.8 148.9 301.7  58.8 301.9 399.6 232.7  95.  227.2 214.5 142.1 178.6
 252.6 135.9 283.  121.3 346.1 102.7 281.7 204.9  63.6   0.  342.5 205.6
 130.7]","[430 522 702 515 239 677 346  13 333 693 349 172  77 439 300 563 278 476
 519 479 742 495 351 628 730]"
[371.    0.   64.9 155.2],[348  10 308 596]
"[151.9 151.1  56.4 327.8 449.4 337.8 460.9 345.5 407.3 428.7 117.1 257.5
 447.5  69.5 268.5 484.  486.4   0.  201.9 419.  428.5]","[680 677 591 346 333 693 349  77 300 563 105 278 476 625 519 479 742  68
 419 628 730]"
"[345.1 353.5 326.  397.  371.4 315.6 227.9  64.5 112.1   0.   81.5  55.3
 253.   69.4 301.9 454.4 302.8 322.3 441.  345.1  71.2 374.2]","[544 374  54 335 695 713 382 602 624 500 629 318 347 199 205 287 725  95
 148 169 334  57]"
[334.1 138.4 263.   44.9 401.8 305.2   0.  293.5 372.6 265.9],[185 488 177 715 477 418 520 552 735 339]
[487.  390.3 270.6   0.  292.7   1.5],[403  86 373 511 672 579]
[260.9 198.1 231.4 166.  181.1 161.6 125.4 385.6   0.  245.6],[194 181 332 648 473 124 322 589 740 392]
"[371.3 349.1 422.6 356.6 314.2 359.3 290.8 210.  189.9  97.7 215.9   6.3
  91.1 145.9 171.5   0.  266.2 477.5 312.6 340.7 377.6 291.7 247.5 351.7
 355.4 479.1]","[502  58  64 576 550 556 208 568 250 296   4 350 215  14 463 546 537 343
 406 641 435 467 101 285 426 344]"
"[381.7  99.6 107.7 159.4  98.9   0.  234.9 267.2 309.1 361.8 445.8 477.9
 477.9]",[170 432 218 234 225 587 683 486 316 249 359 697  78]
[357.3 309.7 155.6   0.   23.7 109.8 141.  112.1],[656 664 657 530 538 268 572 434]
"[432.7 404.5 463.2 390.2 134.6 293.  119.4 436.5 194.  147.9 224.4 302.
  99.3 274.3 150.  235.6 362.8   0.  250.8 205.3 123.  230.3 287.2 346.1
 257.5 444.5 309.7 259.3]","[522 515 239 680 677 591 346  13 333 693 349 172  77 439 300 563 105 278
 476 625 519 479 742 495  68 419 628 730]"
[214.9 190.3 466.9 122.9   0.  228.7 470.7 345. ],[709 499 143  69 266 256 275 654]
[479.4   0.  233.   71.5 226.6 241.9 282.5 492.3 429.4],[667 202 251 484  32 427 494 635 411]
[0.],[691]
[  0.  170.5 362.4 338.8],[391 191 524 590]
[494.2 462.1 469.3 471.3 447.1   0.  144.3 336.  459.4 464.4   0.  479.5],[344 490 491 362 221 482 319 431 396 156 442 277]
[336.1 298.4 458.1 206.1 141.  118.2  92.    0.   65.2],[656 664  47 657 530 538 268 572 434]
[135.6 341.4 235.1 307.1 460.9   0. ],[518 594 736 655  17 549]
[  0.  489.6],[676  52]
"[403.5 154.4 385.6 219.2 172.9 407.9 235.2 215.3 112.  240.9 105.9   0.
 207.3  55.  172.6 198.8 302.  188.5 306.4  73.8 180.  178.6 338.  239.7]","[430 522 702 515 239 677 346  13 333 693 349 172  77 439 300 563 278 476
 519 479 742 495 628 730]"
"[359.8 114.7 237.2 107.9 367.6 182.3 371.3 436.  118.1 291.9  89.1 274.6
 118.8 441.1 450.8   0.  101.7  70.8  70.8 184.5 179.5 356.7 356.7 271.7
 401.3 354.4 238.8 342.5 291.7 342.5 430.6 487.2 410.8 405.2]","[743 611 616  19 613  85 541 267  91 663 138 145 290 642 106 454 363 113
 582 496 187 489 607 231  33 174 634 480 394 583  97 211 198  44]"
[329.4   0. ],[449 360]
[  0.  160.3 219.  219.  465.1 133.8 419.7 379.9],[380 450 428  84 264 367 404 661]
"[100.4 201.2   0.  374.5 486.9 387.  386.2 440.3 479.4  69.8 293.  498.
  88.2 319.1 463.8  56.4 153.4 474.8 481.4]","[680 677 591 346 333 693  77 300 563 105 278 476 625 519   0  68 419 628
 730]"
"[188.   47.8 450.  420.9 228.    0.  211.6 225.3 250.8 295.6 280.1 417.9
 431.9]",[595 485  34 128 121 465 219  53 705 358 114 668 448]
"[482.4 425.  241.1 442.3 433.2 437.8 404.3 191.6 462.7   0.  375.3  73.7
 159.4  87.2 303.  495.6]",[ 23 493 353 617 123  87 678 175 317  71 387 417 647   1 137 100]
[290.1 257.8 281.   84.6   0.  112. ],[573 386 378 286  49 638]
[ 62.7 158.3  80.6 162.7   0.   27.5],[644 574 186 301 458 273]
"[ 82.4   0.  152.1 313.2 198.3 180.5 123.7 157.4 216.4 104.  241.5  59.7
 444.5 312.3 377.5 460.9 474.2 425.  496.5 400.4]","[ 23 493 304 706 353 337 617 729 284 123 375  87  42 678 420 438 264  71
 417   1]"
[0.],[122]
[0.],[561]
"[207.1 108.1 196.9 220.7 105.9  86.8  87.9  53.4  47.2   9.8 197.  164.9
   0.   41.4]",[326 206 737 223  31 306 263 229 424 310 311 698 623 227]
[  0.  211.3  85.8  31.4 323.4],[466 389 238 135 176]
[446.1 343.3 264.9 246.1 134.8   0.  381. ],[436  40 405 539 271  37 280]
"[269.3 431.3 386.7 260.6 289.7 293.5 483.8 474.5 428.5 415.8 384.9 342.5
   0.  386.7 403.5]",[430 324 522 702 515  13 349 439 563 476 742 495 351 628 730]
[175.5  74.2 320.5  56.4  76.8   0. ],[  8  80 228  59 619  48]
[131.6  54.8 439.7  88.8 151.    0.  141.7 364.4 103.3 432.9],[531 452 545 408 127 210  81 630 646  56]
[481.2 491.1   0.    0. ],[ 97  44 609 645]
