distance,index
[  0.  393.5 274.5  75.6 397.7],[627 103 134 288 260]
"[257.4 130.1 101.    0.   51.9  98.8  60.4 104.8 235.  159.6 357.3 358.1
 365.3 376.7 381.6 483.6]",[270 119 599 254 535 626 116 553 190 470 315  61 338  70 684  18]
[0.],[716]
"[247.5 129.7 133.6 110.8 484.8 250.3 128.6 255.4 319.5  84.  382.9 175.3
  31.4 398.  155.8   0.  322.6 332.6 118.8  18.1 189.1 189.1  77.1  81.5
 247.7 247.7 175.9 412.8 400.1 490.5 446.1 180.8 321.9 268.  321.9 469.1
 492.8 492.3]","[743 611 616  19 534 613  85 541 267  91 240 663 138 246 145 290 642 106
 454 363 113 582 496 187 489 607 231 189 653  33 174 634 480 394 583 211
 608 198]"
[  0. 387.],[703 516]
"[228.7 267.6 332.5 454.7  79.2   0.  208.2 382.  154.5  21.4  21.4 308.8
  68.2 427.6  47.6 309.7 246.2 184.3 391.4 284.7 265.3 173.6 400.  240.3
 235.  368.3 368.3 461.9 271.9 280.4 450.5]","[224 317 743 616 534 632 555 387 468 471  72 613 610 137 179 541 267 240
 663 100 171 246 145 642 106 489 607 231 189 653  28]"
"[438.1 207.5 258.6 247.5 321.7 273.2 483.9 158.   82.3 463.5 251.3  32.7
 481.9   0.   14.3 181.  286.4]",[637 233 639 245 733 140  42 564 719 438 314 112 600 232 144 464 601]
"[461.2 490.5 401.3 479.9 347.6 347.6 496.8   0.   48.  452.2 393.3 391.1
 393.3  41.1 443.8 382.1 431.3  41.8  78.5]","[138 290 454 363 113 582 187  33 174 634 480 394 583  97 211 402 608 198
  44]"
[  0.  491.1 383.2 494.8],[ 88 652 738 660]
"[475.9 405.2 493.8 342.9 342.9  78.5  81.7 495.1 454.9 446.  454.9  58.3
 450.9 120.1   0.  491.1 491.1]",[138 454 363 113 582  33 174 634 480 394 583  97 402 198  44 609 645]
[ 44.    0.   85.5  57.7 146.9],[178 341 327  29 272]
"[114.3 266.5 329.2 358.1 350.9 437.  396.6 446.  474.3  22.7   0.    7.6
 402.5 127.2 126.  170.6 313.1]",[270 119 599 254 535 626 116 553 470 315  61 338 182  70 684  18 163]
[113.6 311.4   0. ],[166 167 714]
"[397.8 418.4 391.2 460.4 431.2 371.1 290.6 125.9 175.5  69.4 116.9  49.2
 314.5   0.  263.2 396.5 267.6 270.7 406.  296.4 495.2   6.  381.1]","[544 374  54 335 695 713 382 602 624 500 629 318 347 199 205 287 725  95
 148 169 168 334  57]"
[  0.  120.1 245.5],[429 388 510]
[0.],[745]
"[432.1 380.6 369.5 364.4 403.  396.4 418.5 464.1 347.2 451.4 284.  260.6
 460.3 306.6 268.  403.9 404.5 291.7 273.5 316.1 316.1 226.7 208.8 267.5
 267.5 187.3 390.7 377.8 391.1 365.1 103.4  53.9   0.   53.9 432.1 201.7
 399.7 224.9 418.2 370.  446. ]","[743 611 616  19 613  85 541 267  91 240 663 138 246 145 290 642 106 454
 363 113 582 496 187 489 607 231 189 653  33 174 634 480 394 583  97 211
 670 608 525 198  44]"
[ 35.7   0.  408.9  90.4 107.9 253.9],[536 297 690 361 620 562]
"[343.6 477.4   0.   90.2 212.4  77.9 235.  113.   75.  286.5 186.  105.6
 413.4]",[159 230  73 503 540 441  60 184 604 217 212 355 377]
[ 0.  59.8],[393 136]
[ 83.    0.  403.   89.9 162.2  28.8],[651 547  30 305 149  36]
"[ 34.6 323.2 145.1 309.1 234.6 309.7 455.1 298.5 298.5  19.  377.  356.5
 242.9   0.   65.  276.8 168.5 134.6 286.7 184.4 116.8 255.4 121.9 136.3
 371.3 270.8 442.1 442.1 221.4 238.8 187.9 187.9 232.5 272.5 265.6 317.1
 461.9 418.5 461.9]","[743 611 616  19 534 632 468 471  72 613 610 179  85 541 267  91 240 663
 138 246 145 290 642 106 454 363 113 582 496 187 489 607 231 189 653 634
 480 394 583]"
[379.4 361.4 387.7 162.9 112.    0. ],[573 386 378 286  49 638]
[137.7  67.    0. ],[ 66  55 622]
"[487.8 354.5 467.  232.4 494.4 286.6 474.8 203.  283.3 317.  171.4 243.2
 338.  261.8 283.1 342.2 142.1 309.7 149.7 416.7 192.1 319.7 164.  205.6
 419.  386.7   0.   98.7]","[430 522 702 515 239 677 591 346  13 333 693 349 172  77 439 300 563 278
 476 625 519 479 742 495  68 351 628 730]"
"[431.  372.4 286.5 475.7 321.9 328.  106.9 357.7 106.8 208.1 360.4   0.
 112.2 201.1 282.5 186.  439.7]",[521 230  73 330 503 581 540 441  60 184 604 217 212 355 447 377 183]
[  0.  376.3 246.1 459.9],[539 271  37 280]
[236.1 189.9 166.6   0.  340.1],[614 312 720 692 213]
